rep,metric,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf,slope_per_sec,rolling_cv_60s,rolling_cv_600s
1,IPC,21506,0.655455582378461,0.09180310268410526,0.14005999056561244,0.4249430604850135,2.674227383215462,0.4400708379954084,0.46419761037174123,0.6250643671753986,0.6911358406152173,0.7079006549069573,0.7303687812803771,0.7462032807780464,0.3378188632595673,-2.1238736371452197e-06,0.02179094939621864,0.019586891547788348
1,L1_miss_rate,21506,0.025664974827411216,0.009075783504988662,0.35362526423736695,0.0007187906258848364,0.1181961338149926,0.018650038495655306,0.020195291826270254,0.020775375831582794,0.020876294884821477,0.026710842241701886,0.04864635094555049,0.04963361326975126,0.14255150469119807,3.064301431831466e-08,0.01732954452777221,0.009399400214697286
1,L2_miss_rate,21506,0.7187771250504618,0.03915920196354598,0.05448031190585928,0.1836677427746441,0.8111862533211628,0.645331631340288,0.6528008285178502,0.6934351337399786,0.7125515080993885,0.7602640218941193,0.7737356611409646,0.7771466121054802,0.5026425761446274,2.1778982138318157e-06,0.019892151791357136,0.01966439948780872
1,MemBound_frac,0,,,,,,,,,,,,,,,,
1,StallL1D_per_cyc,21506,0.7095518309167275,0.022822472179307003,0.03216463010154001,0.022121250174986114,0.8450716687311197,0.6867567073105244,0.6906031880698243,0.696825686750169,0.7028203878955325,0.7220971058736636,0.7488491519280842,0.7557477300307798,0.51030966258882,7.002511563494206e-07,0.006646345109385859,0.005838807144313355
1,StallL2_per_cyc,21506,0.7069772545675234,0.02335526919193573,0.033035389810698736,0.021051601030312152,0.8378542049083838,0.6834054619349974,0.6874455711722475,0.6937561760781659,0.6997315079809572,0.7205885084526518,0.7474054373247501,0.754636728463204,0.5089074332821122,7.006873973923587e-07,0.006694743154917986,0.00587858211921901
2,IPC,21548,0.6538288795761902,0.0883746355765629,0.1351647783344276,0.1981444942856066,2.7931361741535015,0.44004213707230094,0.46330362897904054,0.6221096127719292,0.6935373366665525,0.7090971713841605,0.7261201627146382,0.7415683760898358,0.2959144230266907,-1.6529440718777042e-06,0.01931778750976479,0.016287174074450617
2,L1_miss_rate,21548,0.025669476172407005,0.009151017768828543,0.35649413752608183,0.0012520815641482005,0.22899301527322233,0.018638319423243056,0.020205220477365202,0.020766854800135744,0.020873411318667878,0.026816845759879505,0.04866355286620351,0.049641142562007134,0.13824652230341905,3.313658221261084e-08,0.017220838765238396,0.00932582670676539
2,L2_miss_rate,21548,0.7186637694627448,0.038324352321167966,0.05332723583633317,0.3410679709429845,0.8108027828101809,0.6457393316128821,0.6533269491343877,0.6934795923233763,0.7122988963896004,0.7601641930974827,0.772907579590464,0.7768429382760524,0.4961453913266612,2.176218387830143e-06,0.02013576556318491,0.019944441676116077
2,MemBound_frac,0,,,,,,,,,,,,,,,,
2,StallL1D_per_cyc,21548,0.7109048852536335,0.02026588073447734,0.02850716200557121,0.04728419407910557,0.8718448931717797,0.689121734361539,0.6932686251589484,0.6977036541647812,0.7029148824957158,0.7230918652280593,0.7496380332701565,0.7562080339193663,0.4112751951254692,5.09908201453358e-07,0.005914450443774659,0.004745808688925586
2,StallL2_per_cyc,21548,0.708361659901102,0.0208220141953026,0.02939460924269909,0.047165776039260005,0.8671732425748043,0.6859336509871384,0.6900780088420384,0.6946049053618961,0.699871163874439,0.7216332637329472,0.7481296793921,0.7549883525001554,0.4133772051448419,5.117608097379258e-07,0.005988015073116207,0.004789445442284161
3,IPC,21621,0.6493774718475973,0.08516080240311834,0.1311422186556924,0.20384576879531144,1.5035739341789482,0.434031916151127,0.4603583427103637,0.6197893574947583,0.6852227427043884,0.705063086267306,0.7271780099192913,0.743437940787004,0.2795067414003113,-2.180223923759644e-06,0.02326780229941005,0.021974922918644252
3,L1_miss_rate,21621,0.02563211323423906,0.009111588307182535,0.3554755015287381,0.01624817684051979,0.17445699595955888,0.018872735176126774,0.020158768012460873,0.020691112983725304,0.020787414569877618,0.026714945225299852,0.048715610879723155,0.04970225873058309,0.14529960719537463,3.007963514666421e-08,0.015501196604587332,0.008481600189641947
3,L2_miss_rate,21621,0.7192400432984194,0.03731323618197688,0.051878696868515796,0.5258626153569167,0.8114147908207983,0.6475031259516654,0.6549456468407997,0.6942827837027117,0.7128663180996644,0.7597475559007801,0.7721605642231543,0.7758540700311718,0.4952173886139143,2.1322839122605003e-06,0.01953451295505953,0.019312510409422588
3,MemBound_frac,6,0.6667274938043359,0.516444902440386,0.7745966789123394,0.0,1.000182481413008,0.0,0.0,0.25,1.0,1.000136861059756,1.000182481413008,1.000182481413008,0.6122793149590712,-4.846463642049468e-05,,
3,StallL1D_per_cyc,21621,0.7128701714478016,0.018358942793771035,0.025753557280261834,0.5156942623263653,0.8740303861000771,0.6894173211260665,0.6933785787183894,0.6993689488588741,0.7060775331842957,0.7245189677655411,0.7511090634779407,0.7583127037205203,0.3738681443331561,6.756761345939635e-07,0.006666465124322892,0.0063489573916532165
3,StallL2_per_cyc,21621,0.7103669455116618,0.018979575594829306,0.0267179880972062,0.5134132225135639,0.8624688407514067,0.6862019640932995,0.6902428875709502,0.6963050767374228,0.7031618410497721,0.7229858056249016,0.7497118478619494,0.7571465097921299,0.38010641145046825,6.870092533175513e-07,0.006790483983137663,0.006473285143898952
