rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,1932,48760724594.857994,3313898336.1872735,0.06796245059362258,14600241054.161633,65163948531.07215,44653485700.0639,45097010071.763275,46271435214.685844,48633869426.226204,50503117291.32051,54327229886.863846,59451156180.60933,0.167545862165165
1,cycles,1932,100188751582.04436,3277650243.499902,0.03271475282148656,6809706789.452171,103625441517.84982,98616634947.264,98836166117.09262,99773284601.87474,100180925837.47394,101005045107.97511,101614029781.28189,101845530780.19121,0.6676653527320244
1,L2_RQSTS.MISS,1932,990336924.7822521,98072658.30827264,0.09902958867239665,79504920.92348711,1594977582.8005288,852527821.1535472,881499162.0292264,917752957.0567698,991318167.6952722,1052859484.9290783,1073770381.5920215,1398391454.2331061,0.13846096115450807
1,L2_RQSTS.REFERENCES,1932,1414441137.018848,158093214.8367271,0.11177079816126732,404947831.23889506,2546735537.2893443,1224337781.7090635,1241483399.8539846,1324593678.3183503,1409037878.953929,1471729676.695428,1538292688.548301,2211033950.4581103,0.4775781622889165
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,1932,1014803891.5419542,68475955.10614467,0.06747703243638352,271412320.44061565,1156456642.7786968,906870859.1862768,915780554.0541344,972535063.9299053,1005717014.0873237,1063034020.7589953,1124504655.2431762,1145937481.295014,0.6741495940084566
1,MEM_LOAD_RETIRED.L1_HIT,1932,15962106365.264534,1072969362.9828821,0.06721978531090313,3630234509.2368307,21072979446.465576,14665284662.296473,14868084634.946814,15093051208.891745,15910610579.875294,16526645464.664639,17586588937.236088,19509062071.059826,0.14265238714593662
1,MEM_LOAD_RETIRED.L2_HIT,1932,147871050.85866064,52468107.27300101,0.3548233881366781,70053907.16252148,400261963.5948096,100475014.15389986,104098204.4608003,115020517.65924737,126994287.19626209,162511954.22894856,264170370.8334814,352791808.99564415,0.9674118388888517
1,MEM_LOAD_RETIRED.L1_MISS,1932,681700725.7190813,65565864.4922326,0.09617983672097676,89040147.05793549,888586691.9685038,590175295.3047417,601232098.4710768,632162950.4827926,671576367.21473,733493745.5419512,790399141.3018484,843892316.6090142,0.8361591011528295
1,MEM_LOAD_RETIRED.L2_MISS,1932,532323414.7007638,34095878.82623158,0.06405105972165055,14400880.543247163,592658894.9775383,474628340.74372137,490092827.0037279,511616647.6128368,533810896.14384204,553498756.739291,578846875.8320687,587908491.5150638,0.6368035236247319
1,TOPDOWN.SLOTS_P,1932,420050624055.62964,12779134387.759918,0.030422843476284198,56767005926.962296,435130354965.63293,413381036411.4173,414454547759.7641,418268623004.8733,420012239875.32166,423457914582.56836,426033539605.9331,426985858134.4245,0.6427085237786053
