rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,3518,29141646647.260147,1544503459.0580711,0.05299986914786378,3949691194.8758707,51413523547.338264,27397872745.300667,27556866651.717773,28041674264.874744,28847931266.91644,30235945245.5541,31423881270.34346,32361009411.336166,0.5467292445385938
1,cycles,3518,53904873329.00471,1656365465.8511329,0.030727564384422527,7037925221.980041,55154176228.871284,53291776524.172775,53458401832.3277,53583542147.81958,53726022957.75789,54435770980.19828,54756669079.890755,54962295404.025536,0.685596505495459
1,L2_RQSTS.MISS,3518,600587749.5608678,55494961.97766149,0.09240108879716209,96043252.47635709,711889750.7539536,475244647.4969707,490385368.92304957,567005246.5952724,624068451.6760061,640802361.5220813,652855286.8072695,659848786.5375851,0.31592658354597275
1,L2_RQSTS.REFERENCES,3518,840457080.3157078,68025011.66218089,0.08093811481322531,242496747.8270504,1060185495.4757475,676589864.1095052,701914640.1157213,800250846.9864647,872406907.2175379,886427954.6270357,898831426.5739039,928008154.3082399,0.27699813118717126
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,3518,716238184.380189,31872926.549312063,0.0445004570328709,146051038.79393566,989116226.2761408,641807637.4090614,655066323.8795419,707766065.1889858,727569097.1009574,734704572.3954115,740779181.777696,745585993.8065135,0.3087890746684759
1,MEM_LOAD_RETIRED.L1_HIT,3518,11090295656.039354,622379862.7240348,0.05611932107374525,1321776447.1748393,20139940838.44151,10450539497.166227,10507438791.68025,10674793678.661446,10938156989.00931,11443030067.104284,12177127229.201597,12474735981.311459,0.4539164842231234
1,MEM_LOAD_RETIRED.L2_HIT,3518,86257289.66446598,16119614.272215853,0.18687828396788114,15413870.485856278,309619887.6342627,59936260.299137376,65607907.00795075,75679791.73576061,82125805.54650117,94151431.02150674,118858003.2810056,131069906.13123745,0.8154716341949374
1,MEM_LOAD_RETIRED.L1_MISS,3518,448620000.49704117,20366805.711552747,0.045398791157299445,81886170.82021,567400138.2762511,406890601.26448786,413693303.8225583,442949644.65740806,450863426.1965488,459999226.54798895,470239901.88602936,478200534.4958296,0.3402249352052042
1,MEM_LOAD_RETIRED.L2_MISS,3518,361319916.3109045,17960137.31932568,0.04970702280322556,19275205.416380823,389366659.78164303,322361625.43157285,337115833.355026,355228471.81056464,364954792.06771,368862314.6847267,380756335.08807045,384750557.200847,0.5170157518477743
1,TOPDOWN.SLOTS_P,0,,,,,,,,,,,,,
1,TOPDOWN.MEMORY_BOUND_SLOTS,0,,,,,,,,,,,,,
1,MEMORY_ACTIVITY.STALLS_L1D_MISS,3518,54398193096.05022,1929939778.0302339,0.0354780125623394,1696812124.24975,55754886679.9119,52342875116.83962,53701286538.71553,54230278447.28084,54495876728.874115,54760875695.50651,55263223787.904236,55519406378.57746,0.8309749226147394
1,MEMORY_ACTIVITY.STALLS_L2_MISS,3518,54070144138.38479,1923588927.8743699,0.03557580543804765,1574670088.783829,55388565500.13897,51988499454.819916,53372813933.21917,53902933979.0857,54180470485.74234,54438783906.72842,54907782471.20054,55152599791.682335,0.8341708181391876
2,instructions,3514,29180102905.810055,1559775637.572164,0.05345339742655934,3675396754.6420674,62073146948.876114,27543938755.6552,27663867667.820004,28042884754.216476,28877879133.427887,30238688844.522053,31408571849.4581,32282769360.258873,0.5044366116070285
