metric,mean_of_rep_means,std_of_rep_means,cv_of_rep_means,min_rep_mean,max_rep_mean,range_pct_of_mean,mean_within_rep_cv,ratio_between_within,kruskal_H,kruskal_p,anova_F,anova_p,eta_sq
instructions,24671622933.247448,675794808.6563439,0.027391583054134784,23917366086.244278,25222017279.44734,5.288063929693551,0.3684184600890852,0.07434910576280944,161.47547772234248,8.630690268113596e-36,180.33697362036102,6.697172874865455e-79,0.003704437569536818
cycles,57514475066.24951,355593184.194851,0.006182672862531596,57180228275.37225,57888131327.685356,1.23082589469466,0.06868335026171084,0.09001705419105441,304.46287495928846,7.704185487288501e-67,262.17575763954795,2.7871091800778076e-114,0.005376511139114516
L2_RQSTS.MISS,735821320.9129623,48089030.263307594,0.06535422241318266,682633918.6635761,776230955.3444142,12.720076738834992,0.41227702285979245,0.15852016675546912,340.0219230849325,1.4627750328501623e-74,826.1730490657438,0.0,0.01674884243303279
L2_RQSTS.REFERENCES,1022492191.5929829,60854869.820117496,0.05951621960585261,955508964.5819906,1074375397.069237,11.625167748426465,0.3866316945026515,0.1539351803074811,296.8484312833971,3.468823206666324e-65,777.3498675129581,0.0,0.015774673251090953
MEM_LOAD_COMPLETED.L1_MISS_ANY,451467155.4160381,8579319.531157989,0.019003197526632775,441792381.48816276,458149477.5281819,3.623097681368579,0.4138206339582314,0.04592133878116587,203.60572758991475,6.131659246655791e-45,69.01399209911492,1.1192015526017924e-30,0.001420917690292233
MEM_LOAD_RETIRED.L1_HIT,8279641665.756597,223607591.22716025,0.02700691651330383,8032719336.062982,8468466254.461254,5.262871703741225,0.39496465886598164,0.06837805840868345,153.84447191864456,3.918297320690197e-34,152.50258674243716,7.462357856282416e-67,0.0031344626519035543
MEM_LOAD_RETIRED.L2_HIT,42953158.619938694,2719457.1142725777,0.06331215681563906,39939058.53932247,45222997.96561868,12.301631814903176,1.4421121508071735,0.043902380810120926,296.93154889921897,3.3276175417421377e-65,63.19351691766523,3.7434153756625325e-28,0.0013012368237032771
MEM_LOAD_RETIRED.L1_MISS,183629281.76961818,4902225.448089186,0.02669631662688488,178153079.72337744,187608439.88467863,5.1491570789695285,0.4742120967912496,0.05629615272896913,389.2748222107128,2.951524448671157e-85,103.64446993083425,1.085937359790201e-45,0.0021323984788110878
MEM_LOAD_RETIRED.L2_MISS,140294239.08012488,2158915.686940724,0.015388484239240384,137868973.4610376,142006353.57198888,2.9490734174682203,0.301178856684341,0.05109417177769792,223.04573755359158,3.683269393493504e-49,85.40870211596174,8.711502157191676e-38,0.0017578723021000346
TOPDOWN.SLOTS_P,172177355273.23068,1044301005.8013595,0.006065263368368875,171187375872.33267,173268600103.69196,1.2087676849586633,0.06736281397435011,0.0900387470552872,313.66864208090556,7.721822228435056e-69,262.3517090194093,2.3396465312276266e-114,0.005380100010042664
TOPDOWN.MEMORY_BOUND_SLOTS,105306773821.93672,885823296.6543564,0.008411835863020507,104576566632.23189,106292184605.18301,1.6291620288853073,0.10470420564516307,0.08033904475172436,163.43312178693304,3.243011762362703e-36,209.30509770008902,1.9748187413756777e-91,0.004296936701182181
MEMORY_ACTIVITY.STALLS_L1D_MISS,44725626512.8498,281540466.732077,0.006294835616247648,44419118596.57923,44972713873.11524,1.2377585731011755,0.05418827712376495,0.11616600398404194,419.21016955086816,9.325417904466776e-92,428.18178437500245,7.2286511226265026e-186,0.008751051392233531
MEMORY_ACTIVITY.STALLS_L2_MISS,44351898086.3212,290189119.647768,0.006542879384394752,44033450345.05722,44601415933.63409,1.280589136166047,0.055482554103330896,0.1179267878008873,441.7193229905606,1.2074460568711715e-96,441.46581099265626,1.3840135784660097e-191,0.009020097448655753
IPC,0.42191002534413835,0.009504704272428381,0.02252779906018043,0.4125012788982686,0.43150786574733696,4.5048910211520345,0.3218354766962686,0.06999787373174209,106.77735433213093,6.5101667204430366e-24,158.78488676802203,1.423099892946121e-69,0.003263164585242549
L1_miss_rate,0.026180130774860904,0.0002230763212844021,0.008520825323707243,0.025925375710414315,0.026340492211824128,1.5856166074174953,0.5983594721644675,0.01424031158541629,9.037987225725374,0.010899987758046313,6.642425532940879,0.0013044539958028177,0.00013693564974092637
L2_miss_rate,0.7182478276549026,0.004929561909302104,0.006863316141724018,0.7125620284781164,0.7213238504051352,1.2198883991931266,0.09427826470001122,0.07279849882221265,319.50159109855304,4.17937185076097e-70,173.95913421631352,3.851873182874653e-76,0.003573893790781388
MemBound_frac,0.6166524649779636,0.0019601637224088025,0.0031787170792852504,0.6154958537323131,0.6189156829541395,0.5545796726765027,0.14919076881344773,0.021306392510517903,16.022961214483075,0.0003316333365818585,14.604988782449912,4.5508107759276283e-07,0.00030103692999039814
StallL1D_per_cyc,0.7790326328020415,0.00496713188230787,0.006376025436112967,0.7742800360049525,0.784189581645979,1.2720321619113117,0.041221335213691,0.15467779981069787,390.525164982937,1.5795664537513253e-85,778.2766311581067,0.0,0.01579318294347732
StallL2_per_cyc,0.772530919196516,0.005128592773839436,0.006638689334497468,0.7675639737859805,0.7778071600279354,1.3259257315692246,0.04316155393251873,0.1538102484650293,411.0256327823445,5.583646057270614e-90,769.2702532855952,0.0,0.0156132744823801
