rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,34653,46006920546.98235,15463765432.65834,0.3361182458814368,2383000841.5893116,77290109690.0,22017041819.36,22702347672.679634,30576189802.80869,50386432245.86345,58659546679.75772,67912292843.66034,69439034818.44583,0.7830492935862838
1,cycles,34653,97635384792.6309,5999054053.049402,0.06144344149194345,5764942387.710069,106941447967.64343,91446140479.97612,92094850431.44476,92338781882.91216,98122463406.04468,102911837553.98146,103232970019.759,103513370080.68286,0.801732600184999
1,L2_RQSTS.MISS,34653,1063636835.9967973,559838325.541609,0.5263434911192703,78593323.97833377,2777088741.1355543,484339063.0122935,528023751.33916026,561478405.7823993,967197409.6899469,1409391905.7881386,2341082749.2653065,2688856969.2804337,0.508824406093526
1,L2_RQSTS.REFERENCES,34653,1496432053.2255096,742387392.5615786,0.49610497914782514,154266224.91231734,3601204393.8271585,697796440.2488223,751012196.6986198,788878275.3561418,1393479222.4568174,2022526355.4732456,3103253585.0855465,3494692105.5975327,0.5633500886516318
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,34653,859297651.0957009,359086695.588382,0.41788394874640494,4715328.163193177,2423015078.437823,508151435.3300193,557050739.8726802,583821725.9304408,694452544.1165302,1039908369.4080735,1614169035.2897272,2170398191.8760486,0.6405209168674627
1,MEM_LOAD_RETIRED.L1_HIT,34653,15444835968.799805,5652917499.121079,0.36600696249157766,672765344.0579183,25211079209.21977,5051440917.745952,5233301265.574373,11581756254.0,17456384419.966694,19662317216.04338,22703342812.17476,23250732307.684635,0.7693143365914205
1,MEM_LOAD_RETIRED.L2_HIT,34653,111749377.94763565,175942764.47350246,1.5744406609220412,2777127.844129661,1517505479.8406148,3136948.435786837,6864908.443147149,57842537.35306465,65673046.69621646,107466000.69144534,237684737.2483691,1280945140.8843594,0.9017140761306621
1,MEM_LOAD_RETIRED.L1_MISS,34653,515716658.59814245,249515978.649698,0.4838237712311834,4490870.399872332,2018743879.2244787,329296765.19744885,373842788.16371375,408398137.10721695,421458839.66035,483212113.1891415,1029654626.7392503,1802590856.8637896,0.6339816480602977
1,MEM_LOAD_RETIRED.L2_MISS,34653,402970421.34766203,121999427.68086225,0.30275032910072436,642941.6756235189,1040603681.7282386,288830566.03249747,296239899.50789976,349104711.35406774,363928262.63527536,398508699.1202627,719001480.288844,830830789.928301,0.1430235784575287
1,TOPDOWN.SLOTS_P,34653,409163867990.15704,24533163832.3555,0.059959262661349357,48254605434.723335,447446706986.1477,383390620085.71655,385999988657.2448,387148608324.16815,410706989968.5466,431330441234.23096,432851870493.2885,434058706616.8871,0.7956579641890477
1,TOPDOWN.MEMORY_BOUND_SLOTS,34653,254638721433.37433,25124828161.26673,0.09866852935734909,10280668003.85886,299620167742.40894,218536851230.38177,225696671126.25293,235710359526.5207,241042442299.76273,280496969507.998,290841554577.626,295777682197.6639,0.7336579959519005
1,MEMORY_ACTIVITY.STALLS_L1D_MISS,34653,108156620239.31558,5823599768.306231,0.053844135989276384,69510098.47332717,116333356118.73018,100225392045.71133,101143833193.8133,104912090386.02437,108782176792.85515,112459741100.54398,113480792266.19336,113797933831.89438,0.830289869601433
1,MEMORY_ACTIVITY.STALLS_L2_MISS,34653,107334171252.74696,5941507435.517949,0.055355227195327046,59753818.2330919,115616338358.6454,98825057091.48526,99894215220.74086,103959647000.54329,108166905848.81093,111733862850.1432,112748086586.56938,113070023372.21855,0.8171134557346891
2,instructions,31965,49900195050.65388,18802283892.080067,0.3767978035555532,728509787.2475668,102323416435.8884,22332280476.66263,23396526583.416454,30761178997.771496,51628931388.40763,70001861005.21835,71458135939.55185,71782658148.8262,0.7597194303096312
2,cycles,31965,97769917878.26607,6021813700.0569315,0.06159168209136402,5766349068.161119,104291261160.89337,91510185941.00357,92116099450.24847,92440419141.89339,98244073728.56558,102959003489.62502,103168293563.27408,103318815160.22408,0.7853481638645119
2,L2_RQSTS.MISS,31965,1384737453.8633926,460297794.74630547,0.33240799074372035,82417564.21585095,2779698677.149887,522483762.4931163,625123778.587072,1092091076.702718,1408248115.9055798,1460690375.5863755,2426803928.167725,2709803397.346319,0.4544548687913811
2,L2_RQSTS.REFERENCES,31965,1903509638.706962,582351042.984095,0.3059354316585868,162622984.18381578,3608421608.088493,764234042.5784754,1012818119.8515867,1548327149.04215,1869616153.573094,2101751791.25845,3194592724.766369,3527653105.5891986,0.47555374071801104
2,MEM_LOAD_COMPLETED.L1_MISS_ANY,31965,913966427.6295184,372999357.6708873,0.40811056773530063,5203746.562291884,2566160332.982221,559670984.8354939,599487618.722644,626232285.5191658,779864168.0,1094541910.5847452,1674669295.9286919,2307663747.6088743,0.6327163198866385
2,MEM_LOAD_RETIRED.L1_HIT,31965,16764182360.093187,6768118649.213899,0.40372494785819524,106510147.01142988,39126230534.2817,5128079054.1662035,5393574439.867605,11220728161.590689,18097522617.17356,23482366343.5212,24002922202.63128,24110227960.933235,0.7645221809076282
2,MEM_LOAD_RETIRED.L2_HIT,31965,146015622.91753474,190269439.06435347,1.3030758987468893,2649641.050834887,1648424294.1454065,3230748.2770016342,7450995.566446519,84533038.90483402,125680145.79978418,135496590.79316142,252728419.72406656,1392002284.5494852,0.8994978328294655
2,MEM_LOAD_RETIRED.L1_MISS,31965,562317898.3647991,264329220.0700769,0.47007079240895067,4547181.976284646,2128299866.2312963,345980845.9599161,391760590.6302655,431194347.8436344,491843748.807005,510371113.83910394,1068772874.9260571,1934841559.129793,0.6487254453204984
2,MEM_LOAD_RETIRED.L2_MISS,31965,415234429.9024838,127440220.15946765,0.30691149621045755,712175.1693201625,1018646440.8944578,292338929.38172585,302743385.3185353,357737972.7492877,372723028.2826092,415969999.6778854,742874377.5228132,850317532.0764247,0.11914060142550972
2,TOPDOWN.SLOTS_P,31965,409905853366.4118,24725114318.58671,0.0603190076831743,48216480901.785706,437396497752.64557,383729216858.1992,386076870798.4342,387526906982.6493,411703736665.3853,431709706027.78296,432664664812.97473,433308574269.40656,0.7779013866590179
2,TOPDOWN.MEMORY_BOUND_SLOTS,31965,249843512168.42285,28270204364.22485,0.11315164487908547,23791331822.96893,296943483099.0718,218725047301.93063,220010619983.01984,221849459863.61722,242504415313.64053,278477155275.6413,289207339409.30334,293972512028.3769,0.7122081578914655
2,MEMORY_ACTIVITY.STALLS_L1D_MISS,31965,105977775680.96678,4897926672.43883,0.04621654531779799,75913532.21140312,115222641555.4779,100048927491.58777,100453421287.55571,104700272465.0384,106894947637.57451,107811073917.5571,109928663785.06033,111860612132.7387,0.7952570029255323
2,MEMORY_ACTIVITY.STALLS_L2_MISS,31965,105073518038.84746,5000396775.287522,0.047589505601580706,67439898.97647144,114926925214.25864,98662031603.84677,99110591737.32483,103688727081.29909,106022388838.31299,107073843817.85278,109117064868.21503,111054074376.5735,0.7651316652298212
3,instructions,33520,47543024196.87404,16623688650.135796,0.3496556841083072,853931945.8310351,87233328840.20059,21979360196.37788,23053147430.29677,30778442805.380657,51511231919.374405,62649527147.18777,68297531835.08548,69162819610.64073,0.7743229370322338
3,cycles,33520,97852736580.51299,6557287298.802202,0.06701179269939868,5765025974.387849,106600460678.27928,91421815863.18181,92110544802.62077,92398601812.4213,98857962511.77496,103061783129.31033,103298602135.76497,103556220497.44388,0.8250176831954028
3,L2_RQSTS.MISS,33520,1139644827.080539,531716100.56695443,0.4665629921991283,67775703.13833605,2777100476.760347,510084769.73610723,553025643.0420117,709556318.3595593,1054982384.1136904,1425734787.8342528,2362860271.9301953,2704766372.8613157,0.47855810273075944
3,L2_RQSTS.REFERENCES,33520,1590707886.289247,699887301.3452207,0.4399848063731523,136613079.24064705,3840517507.7158647,741217690.70726,779952272.2716216,1021544602.2538402,1450803991.635459,2037533867.9529598,3126368594.1843214,3519774420.874839,0.5286979094774673
3,MEM_LOAD_COMPLETED.L1_MISS_ANY,33520,880810302.4247955,366467367.5040826,0.41605708572575645,5253517.352125038,2486057512.3235145,541253313.317211,574711389.1612815,604439169.5755386,726427740.1760237,1064183354.7658086,1636387579.16784,2253055003.995949,0.6398643887288823
3,MEM_LOAD_RETIRED.L1_HIT,33520,15956474308.81139,6030765963.716961,0.3779510339816539,123624800.41759467,34992870469.13494,5042730095.514873,5317340558.495894,11493178638.683512,17878931980.123947,20989806390.112835,22858810086.036545,23159722738.389565,0.7672142083861798
3,MEM_LOAD_RETIRED.L2_HIT,33520,119877900.3860865,182346989.13080046,1.521105963180219,2697788.083627306,1570496102.2576396,3234396.2375148116,6895542.685646493,61484891.75540312,83413261.68777512,109455785.67452645,240375058.5394818,1334574613.705806,0.9012276087071335
3,MEM_LOAD_RETIRED.L1_MISS,33520,532605724.5242308,256900072.37901416,0.48234568377668,4570074.694586675,2075749299.112483,341319605.93153375,380229434.4704307,417824309.90238774,439303812.4989042,487858176.21692044,1041755620.6952167,1873198386.1137,0.6418851163520033
3,MEM_LOAD_RETIRED.L2_MISS,33520,411565338.97108424,124177928.03287502,0.3017210544097823,945503.4164556826,995531871.5861043,289026535.0123797,300349027.2266114,356176640.4539285,375420795.209443,406641077.30192906,730858850.039437,843338783.7373921,0.13569576420707988
3,TOPDOWN.SLOTS_P,33520,410234684889.7929,26749566923.031788,0.06520552237122003,48209906751.85452,446445116382.9033,383411905762.5473,386066189447.17053,387370330076.4501,414289673119.0431,432096217858.1214,433185675694.63293,434302148134.5453,0.8175079522124287
