metric,mean_of_rep_means,std_of_rep_means,cv_of_rep_means,min_rep_mean,max_rep_mean,range_pct_of_mean,mean_within_rep_cv,ratio_between_within,kruskal_H,kruskal_p,anova_F,anova_p,eta_sq
instructions,2196990575.7938466,7984781.581166098,0.003634417766348828,2191655230.8213696,2206170337.6082063,0.6606813405010546,0.15802637324901944,0.022998805146414888,596.3071151709446,3.262535010417373e-130,50.91023964057421,7.831651141071395e-23,0.000351788273214662
cycles,3454983478.1520543,2699302.8768556355,0.0007812780853873706,3452031663.996454,3457326178.696661,0.1532428370117439,0.02730476694194874,0.028613248633412833,117.27238008285097,3.4247291093296056e-26,78.87386592358686,5.686561999459127e-35,0.0005449108244787297
MEM_LOAD_COMPLETED.L1_MISS_ANY,47967760.72519731,157201.90603087354,0.0032772408729160435,47808198.262934245,48122490.6370187,0.655215856093447,0.38622820028093957,0.008485244916171844,117.17759651854865,3.5909405454791336e-26,6.94469726669109,0.0009638926936296299,4.800223896641157e-05
MEM_LOAD_RETIRED.L1_HIT,725403945.834463,2628548.9895717124,0.0036235658830721974,723564427.7671108,728414494.1331038,0.6686021483400928,0.20722413439681509,0.017486215558914598,586.1010888173581,5.36742079661627e-128,29.43810751029402,1.646239250219709e-13,0.00020344665129279663
MEM_LOAD_RETIRED.L2_HIT,3154647.813440003,9967.405278365972,0.0031595936750533683,3146376.828078179,3165714.559170802,0.6129917580731788,0.9746982928086814,0.0032416119925158717,35.358318596919055,2.0991267931988745e-08,1.0151298899728984,0.3623566510982287,7.016937231031014e-06
MEM_LOAD_RETIRED.L1_MISS,16874014.645995032,43659.34170049571,0.0025873713290190874,16845736.666304797,16924297.86105248,0.4655750062794261,0.4460517420382562,0.00580060805770192,38.16444066082655,5.160562094137739e-09,3.240971687320718,0.03912727894593294,2.2402399168986012e-05
MEM_LOAD_RETIRED.L2_MISS,13725247.192912683,48103.22622950471,0.0035047256747655384,13685734.703670388,13778811.613602571,0.6781437785706717,0.4896177260047616,0.007158085764916637,150.3499534236559,2.248652970089177e-33,4.937815786934771,0.007170846862680778,3.413100561160204e-05
MEM_LOAD_RETIRED.L3_HIT,0.0,0.0,,0.0,0.0,,,,,,,,
MEM_LOAD_RETIRED.L3_MISS,0.0,0.0,,0.0,0.0,,,,,,,,
IPC,0.635587300494571,0.001944590595296271,0.003059517699272975,0.634329018926567,0.6378270244664371,0.5503579975792795,0.15245635011177344,0.02006815522626567,373.50754496403533,7.831900050735969e-82,38.778979767277136,1.447971125505837e-17,0.00026798408500780524
L1_miss_rate,0.02400047063076415,1.2986348525289824e-05,0.0005410872447077657,0.023992336706329682,0.024015447437297003,0.09629282409861381,0.4786590865824099,0.001130423008515493,53.44764721515094,2.4773699870137333e-12,0.12342691124781313,0.8838862875387905,8.531757716346994e-07
L2_miss_rate,0.8246464675710019,0.0011300745337265283,0.0013703745522067965,0.8233624790952122,0.8254899528690125,0.2579861622480202,0.15596982308112495,0.00878615186665962,51.51672152687388,6.505580535532312e-12,7.452873693858892,0.0005798844349513806,5.15146094456689e-05
L3_miss_rate,,,,,,,,,,,,,
