rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,96173,3971179868.459399,638308549.2746065,0.16073524000871692,525381023.7748712,19128599088.590557,2681937247.2226872,2741301313.966649,3671926149.824432,4308797747.262717,4326974083.608274,4555661936.761314,4699515713.794362,0.9065654380316817
1,cycles,96173,5185977267.335011,140383158.6712974,0.027069759745290595,5072596451.0372,6053844592.63629,5088168475.792052,5091395324.506464,5118830402.01916,5128820843.426815,5173965572.1726885,5422725345.451099,5850426001.06069,0.8400652838909246
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,96173,72183343.73273757,27880173.02061712,0.38624108525430534,5140059.945009009,463924761.5368203,46986450.889263704,52159519.1349531,52536773.853359714,58025287.46797005,80340331.32654278,148730670.31233996,154000043.11979127,0.813479951809576
1,MEM_LOAD_RETIRED.L1_HIT,96173,1092619926.751364,228249737.61056018,0.20890131327661624,54500883.28698919,5554122259.856545,511241622.8090579,522666086.2784,1164261122.4350502,1182060118.473208,1186971112.8194191,1223021787.2518413,1286135847.2006862,0.811713009243988
1,MEM_LOAD_RETIRED.L2_HIT,96173,4727793.240389426,4613195.77231228,0.9757608968391124,59232.843651676674,81539019.97018765,88434.59242595424,139531.3150344991,1895784.2496467466,2395729.6884322157,7168693.41058562,16387947.726801109,19040587.49199599,0.9182897134446963
1,MEM_LOAD_RETIRED.L1_MISS,96173,25386388.42091236,11308090.453465326,0.4454391174504422,2801189.680932426,172540919.80704868,11925955.06507186,18297785.882542267,18427258.02077714,20521374.294136442,27427427.22803751,57822406.299132675,60484556.015648454,0.7531376384403798
1,MEM_LOAD_RETIRED.L2_MISS,96173,31002781.22694119,15148616.150547583,0.4886211994872107,232198.79373890438,136788595.49435142,16731615.171266373,21059980.27041364,24707494.39560929,24890230.97889001,31895412.711364042,81298792.16837318,85952346.92402415,0.6513986317170712
1,MEM_LOAD_RETIRED.L3_HIT,96173,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,MEM_LOAD_RETIRED.L3_MISS,96173,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,instructions,96720,3947718883.5242596,629796501.5506557,0.1595342829954537,500641409.1054739,19141587179.309002,2654945591.580565,2702616361.779015,3637226803.0760055,4264634757.5732536,4295284518.123584,4596187786.10786,4855712815.524548,0.9036954644186023
