rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf,slope_per_sec,rolling_cv_60s,rolling_cv_600s,cov_mean,cov_min
1,instructions,7669,26426975557.238754,7188843563.440004,0.27202672314391535,1599719629.0,38605614744.0,14758977886.0,15349403392.6,19935554833.0,26889812242.0,32817658385.0,36952344940.4,37173977182.6,-0.742912142854212,28346.14874509627,0.03479323489933535,0.027229249785302997,50.00046920776367,49.779998779296875
1,cycles,7669,57767126827.56265,3003134032.2262545,0.05198690322942213,3384215118.0,63405374438.0,53967936125.96,54174215264.2,55985433533.0,57920619238.0,59939459884.0,61182197891.6,62206782676.4,0.015854086317376018,-188952.574254037,0.011498217218687577,0.010044308276822362,58.334373474121094,58.06999969482422
1,L2_RQSTS.MISS,7669,857875978.8926848,174042629.87326816,0.20287621306044268,49353953.0,1542188732.0,344773835.4,532790523.6,761109800.0,843144081.0,1019145530.0,1065745879.4,1161603724.2399998,-0.02740453451075339,16451.39893906873,0.11514998115374933,0.08076661699729207,58.33306121826172,58.060001373291016
1,L2_RQSTS.REFERENCES,7669,1179462505.3853176,254940106.76019248,0.216149394827016,153189257.0,2835445416.0,519544132.44,866412447.0,1021181632.0,1126125705.0,1373712193.0,1439449537.8,2042572749.76,0.09125436229744917,-7221.002847752356,0.13773409523353325,0.08431622507147142,58.33396911621094,58.06999969482422
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,7669,489748675.9757465,170394927.79513738,0.34792320256027753,65229221.0,1212067811.0,310997483.88,318801864.0,356511756.0,466981225.0,569423550.0,844773296.7999998,1169786662.12,0.33576611623348945,-29813.407545106795,0.26801491629349267,0.18393867754553866,49.99999237060547,49.7400016784668
1,MEM_LOAD_RETIRED.L1_HIT,7669,8862781488.388317,2534935493.2573557,0.286020308249564,455645776.0,12555771693.0,4772900498.96,4990118372.0,6455165606.0,8988144540.0,11250771394.0,12418840205.8,12500788245.72,-0.7444918348953671,46986.38154888216,0.03898294272829039,0.03529598427962493,49.999813079833984,49.7599983215332
1,MEM_LOAD_RETIRED.L2_HIT,7669,57177421.91133133,63882536.97966823,1.1172685798729252,8886536.0,431938029.0,22214637.64,24105309.6,30094581.0,43394783.0,53563333.0,183605288.79999933,394066906.87999994,0.7171173636906858,-12490.389231959882,0.9850150219568365,0.680256014830193,33.33318328857422,31.600000381469727
1,MEM_LOAD_RETIRED.L1_MISS,7669,206780651.18385708,88647741.31843859,0.42870423712718786,27656297.0,645388147.0,139639929.44,146367190.6,162200780.0,178376993.0,217390112.0,420146425.7999986,625259528.4,0.6324392301497838,-17091.38457275552,0.3651408938433393,0.25447126491736616,33.333457946777344,30.3700008392334
1,MEM_LOAD_RETIRED.L2_MISS,7669,149337302.39874822,30385247.634369195,0.20346723254205434,5008753.0,334602441.0,112976823.08,120733272.8,129997738.0,138714728.0,162383454.0,213219183.99999988,267036263.83999997,0.339751388327839,-4638.209829519213,0.14701495957194377,0.11621177583014188,33.33216094970703,30.84000015258789
1,TOPDOWN.SLOTS_P,7669,173009917573.73688,8744944945.278465,0.050545917066005,20216689124.0,189902771005.0,161593421739.48,162198365865.0,167631675939.0,173472820732.0,179524266228.0,183253200637.4,186244459009.24,-0.035259524943772706,-561843.7794573221,0.011433205776208337,0.010024574554010122,41.666011810302734,39.630001068115234
1,TOPDOWN.MEMORY_BOUND_SLOTS,7669,102774937328.52783,9131002532.806908,0.08884464218760815,3603245170.0,121068116888.0,87788046121.68,90104662905.2,95685351400.0,102769489197.0,110195047387.0,116114046446.0,117205917149.2,-0.4832093888407273,325236.69243028073,0.019325849571010422,0.009560209548667733,41.666011810302734,39.630001068115234
1,MEMORY_ACTIVITY.STALLS_L1D_MISS,7669,43902603097.09389,1878571292.536039,0.04278951952761066,735893217.0,47886172457.0,41370072667.12,42867444091.2,43248691144.0,43874749280.0,44407691987.0,45895081135.0,46678400699.19999,0.6980335736904931,-7345.811726046877,0.014631164707149508,0.01021701368266367,41.6674919128418,40.7400016784668
1,MEMORY_ACTIVITY.STALLS_L2_MISS,7669,43499602144.24944,1878475199.5489988,0.043183732883803616,655485000.0,47506262619.0,40427478588.0,42449445584.4,42866061104.0,43490290550.0,44024033384.0,45477083176.6,46128919249.44,0.7000608371751219,21020.987748273055,0.01546152080725738,0.009788697053754748,41.666847229003906,41.45000076293945
2,instructions,7639,26529049500.253437,7272304935.673486,0.2741261022413944,996762463.0,39529268460.0,14818323867.58,15319827105.6,20044575741.5,26909143111.0,33054632598.0,37223458222.4,37465776932.46,-0.7471381823733173,80435.4890136157,0.03367706691761611,0.024968139180072863,50.000160217285156,49.47999954223633
2,cycles,7639,57930012011.32151,3169898764.5225,0.05471945636577795,3383454588.0,63353784812.0,53976767871.68,54168145379.7,56037187480.5,58049910384.0,60118871318.0,61707327976.8,62570811449.6,0.052239693502828324,-229244.9551837645,0.014786022584674737,0.013077033187962186,58.3341064453125,57.959999084472656
2,L2_RQSTS.MISS,7639,887546658.5305668,172610225.15137884,0.19448017013229982,100665752.0,1518795963.0,353239496.48,540807556.1,785497717.0,895712663.0,1041148676.0,1092136180.3,1146805413.9399996,0.026458540783659768,23900.315015433454,0.1154746834262891,0.08722877052650209,58.33272171020508,58.06999969482422
2,L2_RQSTS.REFERENCES,7639,1210865252.8769472,244548393.4433089,0.2019616905037747,144798903.0,2845285093.0,530350278.96,907008220.4,1053140534.5,1178478725.0,1400913080.0,1448033230.5,2027720985.6799986,0.09860510870880486,1295.8283517211134,0.12787802113536137,0.08018547747387982,58.33373260498047,58.13999938964844
2,MEM_LOAD_COMPLETED.L1_MISS_ANY,7639,491284513.68543005,172564256.02995726,0.35125116144094526,65229693.0,1219464911.0,310463000.66,318449035.6,357430071.0,468637470.0,569134522.5,853443503.3999997,1187866479.5399997,0.3504969749252388,-29753.179167279002,0.2726760228461304,0.18801962874142356,49.99991989135742,49.75
