metric,mean_of_rep_means,std_of_rep_means,cv_of_rep_means,min_rep_mean,max_rep_mean,range_pct_of_mean,mean_within_rep_cv,ratio_between_within,kruskal_H,kruskal_p,anova_F,anova_p,eta_sq
instructions,4390137892.775255,13080733.827518506,0.0029795724296143764,4376961716.349463,4403121047.724605,0.595865825039139,0.16109357923248682,0.018495910537280454,5.515130172359932,0.0634460661357743,16.519199881249975,6.708433802878241e-08,0.00022815938096484837
cycles,6895558337.897816,2074425.4121757715,0.0003008350173436691,6893166075.2169,6896859589.3591,0.05356367042681677,0.026306421674139907,0.011435801534322701,5.172535630366938,0.0753005518751817,6.3014485088687815,0.0018341497772999564,8.704643872346375e-05
MEM_LOAD_COMPLETED.L1_MISS_ANY,94459979.73367716,629907.7245217655,0.0066685142882493,93907063.75920273,95145701.3099257,1.311282888494384,0.37498950982693363,0.01778320223231571,87.44665232223316,1.0261260610999846e-19,15.288610395833825,2.2958418350442136e-07,0.00021116635176593332
MEM_LOAD_RETIRED.L1_HIT,1451037701.814806,5124182.576294634,0.0035313917549391325,1445571472.1498144,1455732320.4103305,0.7002470196196862,0.20369819123767752,0.0173363923041352,5.430608921473322,0.06618479926647712,14.521762333649333,4.942097216536026e-07,0.0002005767675225248
MEM_LOAD_RETIRED.L2_HIT,6412124.245378718,153812.20979270607,0.023987715132556903,6234549.008233595,6503822.576227551,4.199444017137141,0.8915675939930532,0.026905099842316395,211.9022836347675,9.682862334930522e-47,35.042967161949775,6.091376102202065e-16,0.0004838815856136221
MEM_LOAD_RETIRED.L1_MISS,33562579.598411344,90353.15529065732,0.0026920801789304095,33460706.697461825,33633012.88734969,0.5133878025752783,0.41024438610708075,0.006562137764946114,50.66811482567806,9.943943805432527e-12,2.081856682888427,0.12470220480946742,2.8759859488195184e-05
MEM_LOAD_RETIRED.L2_MISS,27160990.985213358,68688.46433681429,0.0025289380779298072,27101595.124551024,27236210.382294677,0.4956198314595312,0.45341063246556274,0.005577588827544498,133.39171181002,1.0823253104208195e-29,1.5038951085479004,0.22226620673439731,2.077576122265124e-05
MEM_LOAD_RETIRED.L3_HIT,0.0,0.0,,0.0,0.0,,,,,,,,
MEM_LOAD_RETIRED.L3_MISS,0.0,0.0,,0.0,0.0,,,,,,,,
IPC,0.6363250866289727,0.0018757493993370872,0.002947784770319445,0.6343481170719839,0.6380798150613841,0.5864452098171132,0.15679378358855606,0.018800393120525446,5.483116701019753,0.06446980202258716,17.073122045852603,3.855774318717856e-08,0.0002358082221342215
L1_miss_rate,0.023945943022951093,4.252145065084144e-05,0.001775726711204757,0.023903040561499878,0.023988072935126982,0.3551013779060782,0.4706080267840167,0.0037732605696071527,34.611290765344165,3.04967601772445e-08,0.6878837417441058,0.5026403003360116,9.502969583767893e-06
L2_miss_rate,0.8174748672312967,0.0058449729964758,0.007150033879661796,0.8139030797097411,0.8242201419771548,1.2620647656553063,0.1443970507680521,0.0495164814075534,187.99931701033347,1.5012983608110247e-41,118.50821684672627,3.755088974575529e-52,0.001634505729563103
L3_miss_rate,,,,,,,,,,,,,
