rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf,slope_per_sec,rolling_cv_60s,rolling_cv_600s,cov_mean,cov_min
1,instructions,48460,4376961716.349463,686858481.460243,0.15692585998515576,312877769.0,14073366712.0,2941840835.82,3025162217.25,3975722587.75,4724657846.0,4766896124.75,5064766334.65,5327476977.5199995,0.8087591076412177,-3327.631676553976,0.024925587030054586,0.022208498150108478,55.55488967895508,54.869998931884766
1,cycles,48460,6896859589.3591,183197930.07320938,0.026562514097845116,3395726552.0,8056695025.0,6783581740.3,6787239046.85,6810857940.25,6833338947.0,6917247994.75,7197513243.15,7749992677.819998,0.6581451096844063,-5437.962364179528,0.013396116696081236,0.012456088517059299,66.66658020019531,66.13999938964844
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,48460,95145701.3099257,35094597.89070011,0.36885111368703527,14898838.0,453513606.0,62806627.37,66648460.2,69741140.25,78016653.5,106069431.75,178251408.9999999,203050281.51,0.6220907994923857,-374.9651231618934,0.08047807020757038,0.07905837510070093,66.66657257080078,66.5
1,MEM_LOAD_RETIRED.L1_HIT,48460,1445571472.1498144,289814804.7624976,0.20048459058997128,40867918.0,5162421155.0,672949012.04,694898379.8,1511023309.75,1561741073.5,1570763687.25,1666506431.5499997,1750643104.3899996,0.6053242427958819,-256.7413189026915,0.01916669001563788,0.015434339767872564,66.66636657714844,66.5
1,MEM_LOAD_RETIRED.L2_HIT,48460,6234549.008233595,5823211.730882446,0.9340229298369586,75932.0,64384771.0,124853.36,885010.0,2625423.25,3529032.5,8766285.75,21263237.399999995,24745486.099999987,0.8317810608159306,-241.36189571862778,0.7614208930519546,0.761459746192359,66.66620635986328,66.4800033569336
1,MEM_LOAD_RETIRED.L1_MISS,48460,33460706.697461825,13859603.034482788,0.41420532924769676,5057956.0,132700188.0,16583015.72,24118483.95,24492986.25,27168715.0,38575840.75,66083790.79999993,79472751.17999999,0.48649363301772913,-338.55439294252017,0.19716383249726424,0.19691573090419615,66.66674041748047,66.48999786376953
1,MEM_LOAD_RETIRED.L2_MISS,48460,27236210.382294677,12285739.002655767,0.45108107296168864,282164.0,76299428.0,14879555.59,18719090.45,21656580.25,21968490.0,28090272.75,60998243.199999996,75836456.89,0.24683386536591356,-97.0728704243143,0.08025113140649504,0.07907008840840758,44.444175720214844,44.279998779296875
1,MEM_LOAD_RETIRED.L3_HIT,48460,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,44.4465446472168,44.06999969482422
1,MEM_LOAD_RETIRED.L3_MISS,48460,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,44.44541549682617,43.84000015258789
2,instructions,48149,4403121047.724605,720013404.2798733,0.1635234181562993,347244983.0,14485081044.0,2924440804.44,2993933677.8,3951265769.0,4684693368.0,4974987365.0,5167237448.0,5307254593.76,0.8146036679201062,-884.4058932058939,0.028901794412802388,0.026339644465300127,55.5548095703125,55.369998931884766
2,cycles,48149,6896649349.117448,186194391.7488344,0.026997804632862967,3393782866.0,8053778057.0,6697412884.8,6782775027.4,6799471270.0,6847739047.0,6903123354.0,7227626308.6,7743184819.159998,0.6546321776159943,-5434.472234878691,0.01352037140136132,0.012254586940284666,66.66659545898438,66.48999786376953
2,MEM_LOAD_COMPLETED.L1_MISS_ANY,48149,94327174.13190305,35646664.30297928,0.3779045076992609,22651369.0,461738520.0,62186966.48,64487606.6,66749440.0,78216196.0,106873561.0,177568263.0,201725929.07999998,0.6301795268913435,-443.741729752046,0.08786681864226356,0.08684805121078536,66.66669464111328,66.4000015258789
2,MEM_LOAD_RETIRED.L1_HIT,48149,1455732320.4103305,299357163.9282707,0.20564025386472853,49571421.0,5055817745.0,668982552.44,693194211.6,1494093763.0,1555069866.0,1635155401.0,1692982906.6,1759946317.4,0.6337000357934558,669.5501878417149,0.02589957633002543,0.02323609420458086,66.66644287109375,66.47000122070312
2,MEM_LOAD_RETIRED.L2_HIT,48149,6498001.151675009,5662657.063140158,0.8714459925388713,78773.0,62601646.0,125086.48,786372.8,3253676.0,3985377.0,8716719.0,21181446.199999996,24996994.799999997,0.8231893175462316,-222.40987492990058,0.7082376895262591,0.7078504911653807,66.66622161865234,66.48999786376953
2,MEM_LOAD_RETIRED.L1_MISS,48149,33633012.88734969,13761769.306188859,0.4091744427501184,9069085.0,133378936.0,16986145.16,24155465.8,25329550.0,26889132.0,38487141.0,66113399.6,78990149.08,0.48683646637066197,-327.551561978123,0.19431505036578972,0.194063397229899,66.6667251586914,66.48999786376953
2,MEM_LOAD_RETIRED.L2_MISS,48149,27145167.44879437,12351069.645336786,0.4550006799050101,7687850.0,76329496.0,15160569.16,18543924.6,21395587.0,21858677.0,28024228.0,61061293.0,75553380.12,0.2536461247365295,-105.03828817573897,0.08223909412082614,0.08157005739624829,44.44437026977539,44.220001220703125
2,MEM_LOAD_RETIRED.L3_HIT,48149,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,44.44660186767578,44.15999984741211
2,MEM_LOAD_RETIRED.L3_MISS,48149,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,44.44502639770508,44.27000045776367
3,instructions,48165,4390330914.251698,714883990.7014555,0.1628314595560054,308045739.0,5571177841.0,2918327448.68,3000628043.4,3909473831.0,4677381799.0,4956275367.0,5155524798.2,5321304848.68,0.8159394084016053,-792.2788443231959,0.02720189948314949,0.024695358089766858,55.554561614990234,55.27000045776367
3,cycles,48165,6893166075.2169,174803428.28127402,0.02535894629171163,2304903614.0,7987077280.0,6704073360.72,6780414863.0,6797742558.0,6851484060.0,6911234354.0,7197699155.0,7670125927.16,0.6262228726404361,-4839.049625484276,0.011425446793767866,0.010716285510423071,66.66663360595703,66.44000244140625
3,MEM_LOAD_COMPLETED.L1_MISS_ANY,48165,93907063.75920273,35516863.674984135,0.3782129080945047,22962328.0,202148121.0,61728049.64,64399760.2,66925002.0,77935797.0,105830791.0,177441969.99999982,201258507.6,0.6319409899691711,-420.7593709374515,0.08542836583731532,0.08481806588192457,66.66679382324219,66.48999786376953
3,MEM_LOAD_RETIRED.L1_HIT,48165,1451809312.8842728,297576961.7966155,0.20496972925833273,38754231.0,1810535796.0,667430522.2,687806444.6,1493500540.0,1548509848.0,1628782520.0,1688901590.9999998,1764743077.04,0.6408197251861742,686.7960764039983,0.024969880600004553,0.02240118505963086,66.66653442382812,66.5
3,MEM_LOAD_RETIRED.L2_HIT,48165,6503822.576227551,5653342.800109545,0.8692338596033296,76986.0,25475404.0,124525.76,707866.8,3263651.0,4036290.0,8711491.0,21141101.4,24925355.32,0.823756926426913,-225.68888417256915,0.7039474327577805,0.7031196665875865,66.6661605834961,66.3499984741211
3,MEM_LOAD_RETIRED.L1_MISS,48165,33594019.21042251,13684637.48557987,0.40735338632342705,9672363.0,79095409.0,16869076.92,23941566.2,25428828.0,27030681.0,38672104.0,66190039.19999998,78841377.32000001,0.4845075490172947,-324.7488479075216,0.19165506921620476,0.19145460764584143,66.66661834716797,66.43000030517578
3,MEM_LOAD_RETIRED.L2_MISS,48165,27101595.124551024,12308193.342808107,0.45415014452998953,7440717.0,75708770.0,15052651.92,18498064.2,21469883.0,21804089.0,27829326.0,61108159.79999997,75340764.76,0.2534267464512571,-98.95067305399233,0.07981130801872456,0.07935945437972848,44.444175720214844,43.90999984741211
3,MEM_LOAD_RETIRED.L3_HIT,48165,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,44.44693374633789,43.77000045776367
3,MEM_LOAD_RETIRED.L3_MISS,48165,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,44.44479751586914,44.0
