rep,metric,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf,slope_per_sec,rolling_cv_60s,rolling_cv_600s
1,IPC,15969,0.45770154546899416,0.09159442898085221,0.20011824274483916,0.1937699607006744,1.9403165786452317,0.2897438790912715,0.30535289164245405,0.3685514149931936,0.48958916098403793,0.5410565175683373,0.5518004084619792,0.5573647897246716,0.2555576317378596,2.947681015450402e-07,0.02677534562203942,0.0234008308167517
1,L1_miss_rate,15969,0.026431798134618396,0.010998459889564348,0.4161071385892353,0.006890652645270776,0.22090229106642975,0.01629225915077556,0.01630915902012428,0.016662141357983648,0.02319994237188233,0.03394771301455554,0.04861119786827787,0.049352063944739406,0.16245117998271136,-5.824529041484446e-07,0.145441706633802,0.14311699771063502
1,L2_miss_rate,15969,0.8043961062291385,0.08394055134493718,0.10435225965778862,0.14121364495916863,0.9583140203122004,0.4958454833679545,0.6155381972796375,0.7797426312652566,0.8331473586466904,0.8475068922082435,0.9023306193018735,0.9265279250833055,0.572787608303236,1.0667569527953618e-05,0.08329482816586525,0.07626169152116176
1,L3_miss_rate,0,,,,,,,,,,,,,,,,
2,IPC,15932,0.4585905686507507,0.08918995314910602,0.1944871073374178,0.19812027804269436,1.0407339213576838,0.2891761995409269,0.3028600288587986,0.377355032358001,0.4915147758736218,0.5391974567111171,0.5502425930146125,0.5611476967619201,0.23475097917777307,6.955498232990687e-08,0.026577099748035883,0.02244273068698975
2,L1_miss_rate,15932,0.02663619433616246,0.011065688867716113,0.41543805875799794,0.006240779762701563,0.22200811754813252,0.01649685692948464,0.01652112505884212,0.016894379172150115,0.0233497567726623,0.03398930026341457,0.0489013915887807,0.049557128924515186,0.15071088024610757,-5.603346416004378e-07,0.14205437755007508,0.1394621116435976
2,L2_miss_rate,15932,0.804602595203802,0.08480091221725525,0.1053947783946379,0.4586979575773937,0.9538931295195724,0.493748586396977,0.6165225783476488,0.7731372385813617,0.8320635223798123,0.8485588792552472,0.9080711322393005,0.9265063988653395,0.5078875737562883,1.0494479699329548e-05,0.08215563518778554,0.07490628478834119
2,L3_miss_rate,0,,,,,,,,,,,,,,,,
3,IPC,15907,0.45880712288952097,0.09193492002517742,0.2003781446246531,0.1871014520819161,2.287432955732352,0.28737553738020905,0.3036616597304785,0.3676004414367994,0.49146396639872986,0.5418949980296619,0.5536352357192449,0.5616393715987377,0.23485624337461536,2.0319219433904556e-07,0.027819247503709725,0.02410320212743038
3,L1_miss_rate,15907,0.026467574941022035,0.01111454766342984,0.4199307147782333,0.008060324124076505,0.22660878453390743,0.016228054373874062,0.016244257321083002,0.01660793318189234,0.02324036356467849,0.033871944231909965,0.04878656152823853,0.049453194602712656,0.16038769931568908,-5.637343958875274e-07,0.14348509773057505,0.1413585139205342
3,L2_miss_rate,15907,0.8047686692051446,0.08331405669820435,0.10352547245718716,0.23789940352890646,0.9575841524782241,0.49647600466097364,0.6168942695435682,0.7791963635567316,0.8319244420084936,0.846879970088569,0.9034675365074025,0.9271153345515551,0.5322236059405544,1.034510758989251e-05,0.08117281267872697,0.0739689916577911
3,L3_miss_rate,0,,,,,,,,,,,,,,,,
